,state_code,state_name
0,AK,ALASKA
1,AL,ALABAMA
2,AR,ARKANSAS
3,AS,AMERICAN SAMOA
4,AZ,ARIZONA
5,BC,BRITISH COLUMBIA
6,CA,CALIFORNIA
7,CO,COLORADO
8,CT,CONNECTICUT
9,DC,DISTRICT OF COLUMBIA
10,DE,DELAWARE
11,FL,FLORIDA
12,FM,MICRONESIA
13,GA,GEORGIA
14,GU,GUAM
15,HI,HAWAII
16,IA,IOWA
17,ID,IDAHO
18,IL,ILLINOIS
19,IN,INDIANA
20,KS,KANSAS
21,KY,KENTUCKY
22,LA,LOUISIANA
23,MA,MASSACHUSETTS
24,MB,MANITOBA
25,MD,MARYLAND
26,ME,MAINE
27,MH,MARSHALL ISLANDS
28,MI,MICHIGAN
29,MN,MINNESOTA
30,MO,MISSOURI
31,MP,NORTHERN MARIANA ISLANDS
32,MS,MISSISSIPPI
33,MT,MONTANA
34,NB,NEW BRUNSWICK
35,NC,NORTH CAROLINA
36,ND,NORTH DAKOTA
37,NE,NEBRASKA
38,NH,NEW HAMPSHIRE
39,NJ,NEW JERSEY
40,NL,NEWFOUNDLAND AND LABRADOR
41,NM,NEW MEXICO
42,NS,NOVA SCOTIA
43,NT,NORTHWEST TERRITORIES
44,NU,NUNAVUT
45,NV,NEVADA
46,NY,NEW YORK
47,OH,OHIO
48,OK,OKLAHOMA
49,ON,ONTARIO
50,OR,OREGON
51,PA,PENNSYLVANIA
52,PE,PRINCE EDWARD ISLAND
53,PI,PACIFIC ISLANDS
54,PR,PUERTO RICO
55,PW,PALAU
56,QC,QUEBEC
57,RI,RHODE ISLAND
58,SC,SOUTH CAROLINA
59,SD,SOUTH DAKOTA
60,SK,SASKATCHEWAN
61,TN,TENNESSEE
62,TX,TEXAS
63,UM,U.S. MINOR OUTLYING ISLANDS
64,UT,UTAH
65,VA,VIRGINIA
66,VI,VIRGIN ISLANDS
67,VT,VERMONT
68,WA,WASHINGTON
69,WI,WISCONSIN
70,WV,WEST VIRGINIA
71,WY,WYOMING
72,YT,YUKON TERRITORY
